ipl_season,sequence,eventid,innings,target,remainingballs,homescore,awayscore,fallofwickets,ball,over,scorevalue,validball,extras,dismissal,dismissaltype,batsmanid,batsman,batsmanteam,bowlerid,bowler,bowlerteam,otherathleteinvolvedid,otherathleteinvolved,nonstrikerid,nonstriker,runs,runrate
ipl20,100001,1216539,1st innings,0,119,0/0,0,0,1,0.1,0,0,0,False,,1070168,Prithvi Shaw,Delhi Capitals,447261,Deepak Chahar,Chennai Super Kings,,,28235,Shikhar Dhawan,0,0.0
ipl20,100002,1216539,1st innings,0,118,0/0,0,0,2,0.2,0,0,0,False,,1070168,Prithvi Shaw,Delhi Capitals,447261,Deepak Chahar,Chennai Super Kings,,,28235,Shikhar Dhawan,0,0.0
ipl20,100003,1216539,1st innings,0,117,4/0,0,0,3,0.3,4,0,0,False,,1070168,Prithvi Shaw,Delhi Capitals,447261,Deepak Chahar,Chennai Super Kings,,,28235,Shikhar Dhawan,4,8.0
ipl20,100004,1216539,1st innings,0,116,8/0,0,0,4,0.4,4,0,0,False,,1070168,Prithvi Shaw,Delhi Capitals,447261,Deepak Chahar,Chennai Super Kings,,,28235,Shikhar Dhawan,4,12.0
ipl20,100005,1216539,1st innings,0,115,8/0,0,0,5,0.5,0,0,0,False,,1070168,Prithvi Shaw,Delhi Capitals,447261,Deepak Chahar,Chennai Super Kings,,,28235,Shikhar Dhawan,0,9.6
ipl20,100006,1216539,1st innings,0,114,9/0,0,0,6,0.6,1,0,0,False,,1070168,Prithvi Shaw,Delhi Capitals,447261,Deepak Chahar,Chennai Super Kings,,,28235,Shikhar Dhawan,1,9.0
ipl20,100101,1216539,1st innings,0,113,9/0,0,0,7,1.1,0,0,0,False,,1070168,Prithvi Shaw,Delhi Capitals,662973,Sam Curran,Chennai Super Kings,,,28235,Shikhar Dhawan,0,7.71
ipl20,100102,1216539,1st innings,0,112,10/0,0,0,8,1.2,1,0,1,False,,1070168,Prithvi Shaw,Delhi Capitals,662973,Sam Curran,Chennai Super Kings,,,28235,Shikhar Dhawan,1,7.5
ipl20,100103,1216539,1st innings,0,111,10/0,0,0,9,1.3,0,0,0,False,,28235,Shikhar Dhawan,Delhi Capitals,662973,Sam Curran,Chennai Super Kings,,,1070168,Prithvi Shaw,0,6.66
ipl20,100104,1216539,1st innings,0,110,11/0,0,0,10,1.4,1,0,0,False,,28235,Shikhar Dhawan,Delhi Capitals,662973,Sam Curran,Chennai Super Kings,,,1070168,Prithvi Shaw,1,6.6
