matchid,pred_points_player,actual_points_player,pred_selection_cnt,accuracy
335982,0.0,629.0,0,
335983,0.0,621.0,0,
335984,0.0,464.0,0,
335985,0.0,459.0,0,
335986,0.0,503.0,0,
335987,0.0,548.0,0,
335988,0.0,512.0,0,
335989,0.0,565.0,0,
335990,0.0,729.0,0,
335991,0.0,602.0,0,
335992,0.0,530.0,0,
335993,0.0,507.0,0,
335994,0.0,529.0,0,
335995,0.0,554.0,0,
335996,0.0,605.0,0,
335997,0.0,550.0,0,
335998,0.0,612.0,0,
335999,0.0,545.0,0,
336000,0.0,596.0,0,
336001,0.0,457.0,0,
336002,0.0,498.0,0,
336003,0.0,563.0,0,
336004,0.0,604.0,0,
336005,0.0,560.0,0,
336006,0.0,562.0,0,
336007,0.0,503.0,0,
336008,0.0,527.0,0,
336009,0.0,610.0,0,
336010,0.0,389.0,0,
336011,0.0,464.0,0,
336012,0.0,527.0,0,
336013,0.0,624.0,0,
336014,0.0,629.0,0,
336015,0.0,557.0,0,
336016,0.0,472.0,0,
336017,0.0,549.0,0,
336018,0.0,586.0,0,
336019,0.0,700.0,0,
336020,0.0,647.0,0,
336021,0.0,445.0,0,
336022,178.0,406.0,8,
336023,232.0,648.0,5,
336024,154.0,635.0,5,
336025,27.0,383.0,6,
336026,220.0,522.0,6,
336027,319.0,533.0,10,0.40150093808630394
336028,223.0,605.0,8,
336029,221.0,564.0,6,
336031,243.0,524.0,7,
336032,263.0,603.0,8,
336033,174.0,699.0,8,
336034,464.0,569.0,9,
336035,327.0,647.0,10,0.4945904173106646
336036,182.0,471.0,9,
336037,313.0,491.0,9,
336038,454.0,637.0,10,0.28728414442700156
336039,337.0,462.0,10,0.27056277056277056
336040,488.0,562.0,10,0.13167259786476868
392181,249.0,558.0,9,
392182,458.0,649.0,10,0.2942989214175655
392183,121.0,310.0,8,
392184,278.0,448.0,8,
392185,262.0,466.0,10,0.43776824034334766
392186,273.0,375.0,9,
392188,402.0,628.0,10,0.35987261146496813
392189,229.0,665.0,10,0.6556390977443609
392190,296.0,570.0,9,
392191,331.0,616.0,10,0.46266233766233766
392192,409.0,670.0,10,0.3895522388059702
392194,149.0,461.0,9,
392195,370.0,547.0,10,0.3235831809872029
392196,353.0,535.0,10,0.3401869158878505
392197,389.0,621.0,9,
392198,329.0,525.0,10,0.37333333333333335
392199,253.0,499.0,10,0.49298597194388777
392200,295.0,528.0,10,0.4412878787878788
392201,241.0,488.0,10,0.5061475409836066
392202,535.0,660.0,10,0.1893939393939394
392203,260.0,550.0,10,0.5272727272727272
392204,439.0,650.0,10,0.32461538461538464
392205,317.0,497.0,10,0.36217303822937624
392206,267.0,657.0,10,0.593607305936073
392207,200.0,464.0,10,0.5689655172413793
392208,398.0,507.0,10,0.21499013806706113
392209,229.0,619.0,10,0.630048465266559
392210,454.0,608.0,10,0.2532894736842105
392211,249.0,474.0,10,0.47468354430379744
392212,397.0,584.0,10,0.3202054794520548
392213,218.0,480.0,10,0.5458333333333333
392214,437.0,536.0,10,0.18470149253731344
392215,282.0,454.0,10,0.3788546255506608
392216,229.0,487.0,10,0.5297741273100616
392217,354.0,442.0,10,0.19909502262443438
392218,248.0,434.0,10,0.42857142857142855
392219,363.0,491.0,10,0.2606924643584521
392220,403.0,554.0,10,0.27256317689530685
392221,225.0,512.0,10,0.560546875
392222,270.0,464.0,10,0.41810344827586204
392223,359.0,675.0,10,0.46814814814814815
392224,414.0,558.0,10,0.25806451612903225
392225,424.0,536.0,10,0.208955223880597
392226,347.0,492.0,10,0.29471544715447157
392227,436.0,464.0,11,0.0603448275862069
392228,351.0,492.0,10,0.2865853658536585
392229,435.0,564.0,10,0.22872340425531915
392230,432.0,544.0,10,0.20588235294117646
392231,415.0,510.0,10,0.18627450980392157
392232,381.0,502.0,10,0.2410358565737052
392233,215.0,478.0,10,0.5502092050209205
392234,239.0,543.0,10,0.5598526703499079
392235,225.0,634.0,10,0.6451104100946372
392236,250.0,589.0,10,0.5755517826825127
392237,365.0,597.0,10,0.38860971524288107
392238,254.0,418.0,10,0.3923444976076555
392239,403.0,610.0,10,0.33934426229508197
419106,225.0,554.0,10,0.5938628158844765
419107,284.0,590.0,8,
419108,305.0,550.0,10,0.44545454545454544
419109,293.0,537.0,10,0.4543761638733706
419110,389.0,597.0,10,0.34840871021775544
419111,175.0,445.0,10,0.6067415730337079
419112,225.0,597.0,10,0.6231155778894473
419113,379.0,493.0,11,0.23123732251521298
419114,395.0,601.0,10,0.3427620632279534
419115,349.0,438.0,10,0.20319634703196346
419116,440.0,559.0,10,0.21288014311270126
419117,417.0,518.0,10,0.19498069498069498
419118,295.0,465.0,10,0.3655913978494624
419119,328.0,519.0,10,0.36801541425818884
419120,348.0,552.0,10,0.3695652173913043
419121,380.0,564.0,10,0.3262411347517731
419122,314.0,487.0,9,
419123,493.0,523.0,10,0.05736137667304015
419124,279.0,552.0,10,0.4945652173913043
419125,390.0,544.0,10,0.28308823529411764
419126,287.0,501.0,10,0.42714570858283435
419127,315.0,595.0,10,0.47058823529411764
419128,217.0,476.0,10,0.5441176470588235
419129,341.0,518.0,10,0.3416988416988417
419130,465.0,685.0,10,0.32116788321167883
419131,277.0,579.0,10,0.5215889464594128
419132,456.0,617.0,10,0.26094003241491087
419133,299.0,531.0,10,0.4369114877589454
419134,436.0,569.0,10,0.23374340949033393
419135,448.0,562.0,10,0.20284697508896798
419136,282.0,458.0,10,0.38427947598253276
419137,635.0,775.0,10,0.18064516129032257
419138,341.0,550.0,10,0.38
419139,510.0,545.0,10,0.06422018348623854
419140,352.0,537.0,10,0.34450651769087526
419141,470.0,706.0,10,0.3342776203966006
419142,357.0,491.0,10,0.2729124236252546
419143,312.0,479.0,10,0.348643006263048
419144,306.0,522.0,10,0.41379310344827586
419145,296.0,623.0,10,0.5248796147672552
419146,380.0,576.0,10,0.3402777777777778
419147,346.0,525.0,10,0.34095238095238095
419148,428.0,542.0,10,0.21033210332103322
419149,260.0,488.0,10,0.4672131147540984
419150,357.0,542.0,10,0.3413284132841328
419151,358.0,585.0,10,0.38803418803418804
419152,263.0,476.0,10,0.4474789915966387
419153,377.0,561.0,10,0.32798573975044565
419154,169.0,400.0,10,0.5775
419155,317.0,466.0,10,0.3197424892703863
419156,399.0,519.0,10,0.23121387283236994
419157,426.0,586.0,10,0.27303754266211605
419158,258.0,506.0,10,0.4901185770750988
419159,420.0,576.0,10,0.2708333333333333
419160,318.0,538.0,10,0.40892193308550184
419161,382.0,446.0,10,0.14349775784753363
419162,285.0,519.0,10,0.4508670520231214
419163,364.0,556.0,10,0.34532374100719426
419164,216.0,503.0,10,0.5705765407554672
419165,363.0,473.0,10,0.23255813953488372
501198,339.0,462.0,10,0.2662337662337662
501199,267.0,541.0,10,0.5064695009242144
501200,325.0,444.0,10,0.268018018018018
501201,372.0,466.0,10,0.2017167381974249
501202,180.0,515.0,10,0.6504854368932039
501203,355.0,532.0,10,0.33270676691729323
501204,315.0,487.0,10,0.3531827515400411
501205,373.0,483.0,10,0.2277432712215321
501206,237.0,582.0,10,0.5927835051546392
501207,281.0,533.0,10,0.4727954971857411
501208,345.0,572.0,10,0.3968531468531469
501209,322.0,479.0,10,0.3277661795407098
501210,507.0,557.0,10,0.08976660682226212
501211,266.0,554.0,10,0.51985559566787
501212,237.0,590.0,11,0.5983050847457627
501213,467.0,663.0,10,0.2956259426847662
501214,183.0,394.0,10,0.5355329949238579
501215,314.0,371.0,10,0.15363881401617252
501216,289.0,505.0,10,0.4277227722772277
501218,335.0,520.0,10,0.3557692307692308
501219,230.0,524.0,10,0.5610687022900763
501220,379.0,575.0,10,0.3408695652173913
501221,336.0,643.0,10,0.4774494556765163
501222,454.0,535.0,10,0.15140186915887852
501223,555.0,612.0,11,0.09313725490196079
501224,411.0,515.0,10,0.20194174757281552
501225,391.0,459.0,10,0.14814814814814814
501226,340.0,529.0,10,0.3572778827977316
501227,355.0,511.0,10,0.30528375733855184
501228,450.0,521.0,10,0.1362763915547025
501229,250.0,657.0,10,0.619482496194825
501230,345.0,523.0,10,0.3403441682600382
501231,198.0,455.0,10,0.5648351648351648
501232,477.0,545.0,10,0.12477064220183487
501233,449.0,616.0,10,0.2711038961038961
501234,238.0,395.0,10,0.39746835443037976
501235,316.0,462.0,10,0.31601731601731603
501236,341.0,594.0,10,0.42592592592592593
501237,462.0,579.0,10,0.20207253886010362
501238,240.0,418.0,10,0.4258373205741627
501239,349.0,486.0,10,0.28189300411522633
501240,394.0,517.0,10,0.2379110251450677
501241,395.0,573.0,10,0.3106457242582897
501242,274.0,528.0,10,0.4810606060606061
501243,387.0,618.0,10,0.3737864077669903
501244,562.0,709.0,10,0.2073342736248237
501245,246.0,320.0,10,0.23125
501246,438.0,620.0,10,0.29354838709677417
501247,365.0,436.0,10,0.1628440366972477
501248,326.0,466.0,10,0.30042918454935624
501249,475.0,589.0,10,0.1935483870967742
501250,305.0,487.0,10,0.3737166324435318
501251,358.0,607.0,10,0.4102141680395387
501252,368.0,466.0,10,0.21030042918454936
501253,336.0,509.0,10,0.33988212180746563
501254,311.0,572.0,10,0.4562937062937063
501255,275.0,381.0,10,0.2782152230971129
501256,235.0,513.0,10,0.5419103313840156
501257,478.0,595.0,11,0.19663865546218487
501258,170.0,484.0,10,0.6487603305785123
501259,342.0,503.0,10,0.32007952286282304
501260,632.0,697.0,10,0.09325681492109039
501261,296.0,483.0,10,0.38716356107660455
501262,289.0,438.0,10,0.3401826484018265
501263,375.0,443.0,10,0.15349887133182843
501264,509.0,625.0,10,0.1856
501266,335.0,556.0,10,0.39748201438848924
501267,263.0,546.0,10,0.5183150183150184
501268,396.0,517.0,10,0.23404255319148937
501269,287.0,551.0,10,0.4791288566243194
501270,369.0,556.0,10,0.3363309352517986
501271,383.0,590.0,10,0.35084745762711866
548306,231.0,458.0,10,0.49563318777292575
548307,296.0,408.0,10,0.27450980392156865
548308,410.0,588.0,10,0.30272108843537415
548309,353.0,583.0,10,0.39451114922813035
548310,337.0,544.0,11,0.3805147058823529
548311,452.0,647.0,10,0.30139103554868624
548312,203.0,565.0,10,0.6407079646017699
548313,285.0,463.0,10,0.38444924406047515
548314,523.0,649.0,10,0.1941448382126348
548315,308.0,684.0,10,0.5497076023391813
548316,284.0,329.0,10,0.13677811550151975
548317,427.0,741.0,10,0.42375168690958165
548318,373.0,692.0,10,0.46098265895953755
548319,284.0,508.0,10,0.4409448818897638
548320,210.0,426.0,10,0.5070422535211268
548321,400.0,625.0,10,0.36
548322,254.0,429.0,10,0.40792540792540793
548323,273.0,591.0,10,0.5380710659898477
548324,290.0,613.0,10,0.5269168026101142
548325,296.0,474.0,10,0.3755274261603376
548326,471.0,586.0,10,0.1962457337883959
548327,280.0,565.0,10,0.504424778761062
548328,267.0,443.0,11,0.3972911963882618
548329,422.0,597.0,10,0.2931323283082077
548330,293.0,515.0,10,0.43106796116504853
548331,267.0,558.0,10,0.521505376344086
548332,206.0,447.0,10,0.5391498881431768
548333,310.0,608.0,10,0.4901315789473684
548334,319.0,547.0,10,0.41681901279707495
548335,313.0,420.0,10,0.25476190476190474
548336,358.0,573.0,10,0.37521815008726006
548337,318.0,439.0,10,0.275626423690205
548339,242.0,521.0,10,0.5355086372360844
548341,267.0,426.0,10,0.3732394366197183
548342,419.0,659.0,10,0.36418816388467373
548343,289.0,599.0,10,0.5175292153589316
548344,455.0,589.0,10,0.22750424448217318
548345,337.0,533.0,10,0.3677298311444653
548346,395.0,535.0,10,0.2616822429906542
548347,368.0,506.0,10,0.2727272727272727
548348,346.0,517.0,10,0.3307543520309478
548349,325.0,551.0,10,0.4101633393829401
548350,289.0,538.0,10,0.4628252788104089
548351,271.0,457.0,10,0.40700218818380746
548352,257.0,497.0,10,0.482897384305835
548353,359.0,546.0,10,0.3424908424908425
548354,497.0,612.0,10,0.18790849673202614
548355,431.0,674.0,10,0.36053412462908013
548356,396.0,482.0,10,0.17842323651452283
548357,389.0,484.0,10,0.1962809917355372
548358,308.0,427.0,10,0.2786885245901639
548359,363.0,541.0,10,0.3290203327171904
548360,235.0,470.0,10,0.5
548361,253.0,440.0,10,0.425
