matchid,playername,total_runs,total_balls_faced,total_legal_balls_faced,run_6,run_4,fallofwickets,batsmen_innings,batsmen_battingteam,batsmen_bowlingteam,total_wickets,total_balls_bowled,total_legal_balls_bowled,total_runs_given,maiden_overs,bowlers_innings,bowler_battingteam,bowler_bowlingteam,economy_rate,playing_role,total_runs_points,run_6_points,run_4_points,run_bonus_points,total_bat_points,total_wickets_points,economy_rate_points,maiden_overs_points,wicket_bonus_points,total_bowl_points,total_points
335982,AA Noffke,11,12,12,,1,6,2nd innings,Royal Challengers Bangalore,Kolkata Knight Riders,1,25,25,35,0,1st innings,Kolkata Knight Riders,Royal Challengers Bangalore,8.4,AllRounder,11,,1,0,12,25,0,0,0,25,37
335982,B Akhil,0,2,2,,,5,2nd innings,Royal Challengers Bangalore,Kolkata Knight Riders,,,,,,,,,,Bowler,0,,,-2,-2,,0,,0,,-2
335982,BB McCullum,169,77,77,13,10,0,1st innings,Kolkata Knight Riders,Royal Challengers Bangalore,,,,,,,,,,Batsmen,169,26,10,24,229,,0,,0,,229
335982,CL White,6,10,10,,,3,2nd innings,Royal Challengers Bangalore,Kolkata Knight Riders,,7,7,22,0,1st innings,Kolkata Knight Riders,Royal Challengers Bangalore,18.85714286,Batsmen,6,,,0,6,,-6,0,0,-6,0
335982,DJ Hussey,12,12,12,,1,2,1st innings,Kolkata Knight Riders,Royal Challengers Bangalore,,,,,,,,,,Batsmen,12,,1,0,13,,0,,0,,13
335982,JH Kallis,9,7,7,1,,2,2nd innings,Royal Challengers Bangalore,Kolkata Knight Riders,1,25,25,47,0,1st innings,Kolkata Knight Riders,Royal Challengers Bangalore,11.28,AllRounder,9,2,,0,11,25,-6,0,0,19,30
335982,MV Boucher,10,11,11,,1,4,2nd innings,Royal Challengers Bangalore,Kolkata Knight Riders,,,,,,,,,,Batsmen,10,,1,0,11,,0,,0,,11
335982,Mohammad Hafeez,5,3,3,,1,3,1st innings,Kolkata Knight Riders,Royal Challengers Bangalore,,,,,,,,,,AllRounder,5,,1,0,6,,0,,0,,6
335982,P Kumar,23,17,17,2,1,7,2nd innings,Royal Challengers Bangalore,Kolkata Knight Riders,,25,25,37,1,1st innings,Kolkata Knight Riders,Royal Challengers Bangalore,8.88,Bowler,23,4,1,0,28,,0,8,0,8,36
335982,R Dravid,2,3,3,,,0,2nd innings,Royal Challengers Bangalore,Kolkata Knight Riders,,,,,,,,,,Batsmen,2,,,0,2,,0,,0,,2
335982,RT Ponting,24,20,20,1,2,1,1st innings,Kolkata Knight Riders,Royal Challengers Bangalore,,,,,,,,,,Batsmen,24,2,2,0,28,,0,,0,,28
335982,SB Joshi,5,8,8,,,9,2nd innings,Royal Challengers Bangalore,Kolkata Knight Riders,,18,18,26,0,1st innings,Kolkata Knight Riders,Royal Challengers Bangalore,8.666666667,Bowler,5,,,0,5,,0,0,0,0,5
335982,SC Ganguly,12,12,12,,2,0,1st innings,Kolkata Knight Riders,Royal Challengers Bangalore,2,25,25,20,0,2nd innings,Royal Challengers Bangalore,Kolkata Knight Riders,4.8,Batsmen,12,,2,0,14,50,4,0,0,54,68
335982,V Kohli,5,5,5,,1,1,2nd innings,Royal Challengers Bangalore,Kolkata Knight Riders,,,,,,,,,,Batsmen,5,,1,0,6,,0,,0,,6
335982,W Jaffer,8,18,18,,,0,2nd innings,Royal Challengers Bangalore,Kolkata Knight Riders,,,,,,,,,,Batsmen,8,,,0,8,,0,,0,,8
335982,Z Khan,3,8,8,,,8,2nd innings,Royal Challengers Bangalore,Kolkata Knight Riders,1,24,24,38,0,1st innings,Kolkata Knight Riders,Royal Challengers Bangalore,9.5,Bowler,3,,,0,3,25,-2,0,0,23,26
335983,IK Pathan,3,5,5,,,4,2nd innings,Kings XI Punjab,Chennai Super Kings,2,24,24,47,0,1st innings,Chennai Super Kings,Kings XI Punjab,11.75,AllRounder,3,,,0,3,50,-6,0,0,44,47
335983,JDP Oram,14,11,11,1,,4,1st innings,Chennai Super Kings,Kings XI Punjab,,24,24,37,0,2nd innings,Kings XI Punjab,Chennai Super Kings,9.25,Bowler,14,2,,0,16,,-2,0,0,-2,14
335983,JR Hopes,72,34,34,3,10,0,2nd innings,Kings XI Punjab,Chennai Super Kings,1,24,24,53,0,1st innings,Chennai Super Kings,Kings XI Punjab,13.25,AllRounder,72,6,10,8,96,25,-6,0,0,19,115
335983,K Goel,25,20,20,1,2,0,2nd innings,Kings XI Punjab,Chennai Super Kings,,12,12,25,0,1st innings,Chennai Super Kings,Kings XI Punjab,12.5,Batsmen,25,2,2,0,29,,-6,0,0,-6,23
335983,KC Sangakkara,60,35,35,2,5,1,2nd innings,Kings XI Punjab,Chennai Super Kings,,,,,,,,,,Batsmen,60,4,5,8,77,,0,,0,,77
335983,MEK Hussey,117,54,54,9,8,1,1st innings,Chennai Super Kings,Kings XI Punjab,,,,,,,,,,Batsmen,117,18,8,24,167,,0,,0,,167
335983,ML Hayden,27,17,17,1,3,0,1st innings,Chennai Super Kings,Kings XI Punjab,,,,,,,,,,Batsmen,27,2,3,0,32,,0,,0,,32
335983,MS Dhoni,2,3,3,,,2,1st innings,Chennai Super Kings,Kings XI Punjab,,,,,,,,,,Batsmen,2,,,0,2,,0,,0,,2
335983,PA Patel,16,11,11,,3,0,1st innings,Chennai Super Kings,Kings XI Punjab,,,,,,,,,,Batsmen,16,,3,0,19,,0,,0,,19
335983,S Badrinath,31,14,14,2,3,5,1st innings,Chennai Super Kings,Kings XI Punjab,,,,,,,,,,Batsmen,31,4,3,0,38,,0,,0,,38
335983,SK Raina,33,14,14,3,2,3,1st innings,Chennai Super Kings,Kings XI Punjab,,,,,,,,,,Batsmen,33,6,2,0,41,,0,,0,,41
335983,SM Katich,24,17,17,1,,3,2nd innings,Kings XI Punjab,Chennai Super Kings,,,,,,,,,,Batsmen,24,2,,0,26,,0,,0,,26
335983,Yuvraj Singh,23,13,13,2,1,2,2nd innings,Kings XI Punjab,Chennai Super Kings,,,,,,,,,,AllRounder,23,4,1,0,28,,0,,0,,28
335984,D Salunkhe,26,20,20,,4,6,1st innings,Rajasthan Royals,Delhi Daredevils,,7,7,6,0,2nd innings,Delhi Daredevils,Rajasthan Royals,5.142857143,Bowler,26,,4,0,30,,2,0,0,2,32
335984,DS Lehmann,1,2,2,,,3,1st innings,Rajasthan Royals,Delhi Daredevils,,,,,,,,,,Batsmen,1,,,0,1,,0,,0,,1
335984,G Gambhir,61,49,49,1,7,0,2nd innings,Delhi Daredevils,Rajasthan Royals,,,,,,,,,,Batsmen,61,2,7,8,78,,0,,0,,78
335984,M Kaif,11,19,19,,,2,1st innings,Rajasthan Royals,Delhi Daredevils,,,,,,,,,,Batsmen,11,,,0,11,,0,,0,,11
335984,M Rawat,2,4,4,,,5,1st innings,Rajasthan Royals,Delhi Daredevils,,,,,,,,,,Batsmen,2,,,0,2,,0,,0,,2
335984,RA Jadeja,33,24,24,2,2,4,1st innings,Rajasthan Royals,Delhi Daredevils,,,,,,,,,,AllRounder,33,4,2,0,39,,0,,0,,39
335984,S Dhawan,59,44,44,,8,1,2nd innings,Delhi Daredevils,Rajasthan Royals,,,,,,,,,,Batsmen,59,,8,8,75,,0,,0,,75
335984,SK Trivedi,3,7,7,,,8,1st innings,Rajasthan Royals,Delhi Daredevils,,21,21,29,0,2nd innings,Delhi Daredevils,Rajasthan Royals,8.285714286,Bowler,3,,,0,3,,0,0,0,0,3
