playername,playing_role,playing_team,opposition_team,playercost
A Mishra,Bowler,Delhi Capitals,,8.5
AR Patel,AllRounder,Delhi Capitals,,8.5
Arshdeep Singh,Bowler,Kings XI Punjab,,7.5
CH Gayle,Batsmen,Kings XI Punjab,,9.5
Harpreet Brar,Bowler,Kings XI Punjab,,8
I Sharma,Bowler,Delhi Capitals,,8.5
KL Rahul,Batsmen,Kings XI Punjab,,11
KMA Paul,AllRounder,Delhi Capitals,,8
M Ashwin,Bowler,Kings XI Punjab,,8
MA Agarwal,Batsmen,Kings XI Punjab,,9.5
Mandeep Singh,Batsmen,Kings XI Punjab,,8
Mohammed Shami,Bowler,Kings XI Punjab,,9
N Pooran,Batsmen,Kings XI Punjab,,9
PP Shaw,Batsmen,Delhi Capitals,,8.5
R Ashwin,Bowler,Delhi Capitals,,9
RR Pant,Batsmen,Delhi Capitals,,9.5
S Dhawan,Batsmen,Delhi Capitals,,10
A Rahane,Batsmen,Delhi Capitals,,9
A Carey,Batsmen,Delhi Capitals,,8.5
SO Hetmyer,Batsmen,Delhi Capitals,,8.5
SS Iyer,Batsmen,Delhi Capitals,,9
K Rabada,Bowler,Delhi Capitals,,9.5
Mujeeb ur Rahman,Bowler,Sunrisers Hyderabad,,9
S Lamichhane,Bowler,Delhi Capitals,,8.5
A Nortje,Bowler,Delhi Capitals,,8
A Khan,Bowler,Delhi Capitals,,8
MM Sharma,Bowler,Delhi Capitals,,8
GJ Maxwell,AllRounder,Royal Challengers Bangalore,,9
HV Patel,Bowler,Delhi Capitals,,8
MP Stoinis,AllRounder,Delhi Capitals,,8.5
JDS Neesham,AllRounder,Kings XI Punjab,,8.5
K Gowtham,AllRounder,Chennai Super Kings,,8.5
AT Rayudu,Batsmen,Chennai Super Kings,,9
DJ Bravo,AllRounder,Chennai Super Kings,,10
DL Chahar,Bowler,Chennai Super Kings,,8.5
F du Plessis,Batsmen,Chennai Super Kings,,9
Harbhajan Singh,Bowler,Kolkata Knight Riders,,10
