matchid,pred_points_player,actual_points_player,pred_selection_cnt,error,rewards_earned
335982,282.0,923.5,11.0,0.6946399566865187,-50.0
335983,432.5,842.5,11.0,0.486646884272997,-50.0
335984,554.5,594.5,11.0,0.0672834314550042,950.0
335985,457.0,574.0,11.0,0.2038327526132404,0.0
335986,414.0,649.0,11.0,0.362095531587057,-50.0
335987,593.5,666.5,11.0,0.10952738184546136,75.0
335988,577.0,712.5,11.0,0.19017543859649122,50.0
335989,359.5,741.5,11.0,0.5151719487525287,-50.0
335990,871.0,960.0,11.0,0.09270833333333334,350.0
335991,535.0,777.5,11.0,0.31189710610932475,-50.0
335992,514.0,717.0,11.0,0.28312412831241285,-50.0
335993,512.0,669.5,11.0,0.2352501867064974,0.0
335994,170.0,747.0,11.0,0.7724230254350736,-50.0
335995,386.0,719.0,11.0,0.4631432545201669,-50.0
335996,650.0,749.0,11.0,0.1321762349799733,75.0
335997,533.0,722.0,11.0,0.26177285318559557,-50.0
335998,653.5,813.5,11.0,0.19668100799016594,50.0
335999,264.0,719.5,11.0,0.6330785267546908,-50.0
336000,636.5,753.5,11.0,0.1552753815527538,50.0
336001,471.0,611.0,11.0,0.22913256955810146,0.0
336002,330.0,638.0,11.0,0.4827586206896552,-50.0
336003,334.0,746.0,11.0,0.5522788203753352,-50.0
336004,544.0,770.0,11.0,0.2935064935064935,-50.0
336005,586.0,787.0,11.0,0.2554002541296061,-50.0
336006,528.5,706.5,11.0,0.2519462137296532,-50.0
336007,509.0,611.0,11.0,0.16693944353518822,50.0
336008,628.5,684.5,11.0,0.08181154127100074,350.0
336009,582.5,756.5,11.0,0.23000660938532716,0.0
336010,363.0,506.0,11.0,0.2826086956521739,-50.0
336011,559.0,645.0,11.0,0.13333333333333333,75.0
336012,546.5,677.5,11.0,0.19335793357933578,50.0
336013,388.0,835.0,11.0,0.5353293413173653,-50.0
336014,658.0,877.0,11.0,0.24971493728620298,0.0
336015,507.0,767.5,11.0,0.33941368078175893,-50.0
336016,530.5,636.5,11.0,0.16653574234092694,50.0
336017,570.0,725.0,11.0,0.21379310344827587,0.0
336018,579.0,788.5,11.0,0.2656943563728599,-50.0
336019,785.0,922.0,11.0,0.14859002169197397,75.0
336020,718.0,872.0,11.0,0.17660550458715596,50.0
336021,458.0,576.0,11.0,0.2048611111111111,0.0
336022,310.5,515.5,11.0,0.3976721629485936,-50.0
336023,709.5,820.5,11.0,0.13528336380255943,75.0
336024,650.0,836.0,11.0,0.22248803827751196,0.0
336025,271.5,544.5,11.0,0.5013774104683195,-50.0
336026,517.0,652.0,11.0,0.20705521472392638,0.0
336027,559.5,699.5,11.0,0.20014295925661185,0.0
336028,436.0,794.0,11.0,0.4508816120906801,-50.0
336029,432.0,723.5,11.0,0.4029025570145128,-50.0
336031,539.5,679.5,11.0,0.20603384841795438,0.0
336032,616.5,755.5,11.0,0.1839841164791529,50.0
336033,761.0,904.0,11.0,0.1581858407079646,50.0
336034,420.0,723.0,11.0,0.4190871369294606,-50.0
336035,808.5,879.5,11.0,0.08072768618533258,350.0
336036,472.0,636.0,11.0,0.2578616352201258,-50.0
336037,511.0,599.0,11.0,0.14691151919866444,75.0
336038,711.0,858.0,11.0,0.17132867132867133,50.0
336039,450.5,581.5,11.0,0.22527944969905417,0.0
336040,700.5,774.5,11.0,0.09554551323434474,350.0
392181,457.0,714.5,11.0,0.36039188243526943,-50.0
392182,751.5,862.5,11.0,0.12869565217391304,75.0
392183,358.5,420.5,11.0,0.14744351961950058,75.0
392184,451.0,586.0,11.0,0.23037542662116042,0.0
392185,577.5,657.5,11.0,0.12167300380228137,75.0
392186,301.5,481.5,11.0,0.37383177570093457,-50.0
392188,398.5,775.5,11.0,0.48613797549967763,-50.0
392189,358.5,838.5,11.0,0.5724508050089445,-50.0
392190,611.5,707.5,11.0,0.13568904593639575,75.0
392191,709.0,800.0,11.0,0.11375,75.0
392192,644.0,855.5,11.0,0.2472238457042665,0.0
392194,350.0,541.5,11.0,0.3536472760849492,-50.0
392195,537.5,687.5,11.0,0.21818181818181817,0.0
392196,606.5,679.5,11.0,0.10743193524650478,75.0
392197,662.5,787.5,11.0,0.15873015873015872,50.0
392198,549.5,669.5,11.0,0.17923823749066467,50.0
392199,562.0,651.0,11.0,0.13671274961597543,75.0
392200,443.5,671.5,11.0,0.33953834698436336,-50.0
392201,399.5,593.5,11.0,0.32687447346251053,-50.0
392202,609.0,913.0,11.0,0.3329682365826944,-50.0
392203,606.5,710.5,11.0,0.14637579169598874,75.0
392204,755.0,877.0,11.0,0.13911060433295325,75.0
392205,412.0,618.0,11.0,0.3333333333333333,-50.0
392206,257.0,853.5,11.0,0.6988869361452841,-50.0
392207,481.0,640.5,11.0,0.24902419984387197,0.0
392208,423.0,654.0,11.0,0.3532110091743119,-50.0
392209,354.0,794.0,11.0,0.5541561712846348,-50.0
392210,514.0,772.5,11.0,0.3346278317152104,-50.0
392211,357.0,623.0,11.0,0.42696629213483145,-50.0
392212,627.0,812.5,11.0,0.2283076923076923,0.0
392213,364.5,651.5,11.0,0.4405218726016884,-50.0
392214,662.5,719.5,11.0,0.07922168172341904,950.0
392215,381.0,589.0,11.0,0.3531409168081494,-50.0
392216,376.0,622.0,11.0,0.3954983922829582,-50.0
392217,524.0,607.0,11.0,0.13673805601317957,75.0
392218,322.0,601.0,11.0,0.46422628951747086,-50.0
392219,537.0,623.0,11.0,0.13804173354735153,75.0
392220,591.0,706.0,11.0,0.16288951841359772,50.0
392221,423.0,696.0,11.0,0.3922413793103448,-50.0
392222,429.0,588.5,11.0,0.27102803738317754,-50.0
392223,374.0,853.5,11.0,0.5618043350908026,-50.0
392224,527.0,693.0,11.0,0.23953823953823955,0.0
392225,350.5,680.5,11.0,0.4849375459221161,-50.0
392226,520.5,646.5,11.0,0.19489559164733178,50.0
392227,534.5,625.5,11.0,0.14548361310951238,75.0
392228,515.0,606.0,11.0,0.15016501650165018,50.0
392229,655.5,712.5,11.0,0.08,350.0
392230,457.0,704.0,11.0,0.3508522727272727,-50.0
392231,595.5,688.5,11.0,0.13507625272331156,75.0
392232,494.5,666.5,11.0,0.25806451612903225,-50.0
392233,332.0,604.0,11.0,0.4503311258278146,-50.0
392234,470.0,643.0,11.0,0.2690513219284603,-50.0
392235,328.0,816.0,11.0,0.5980392156862745,-50.0
392236,357.0,791.0,11.0,0.5486725663716814,-50.0
