matchid,playername,playing_role,playing_team,playercost,total_points,pred_points_catboost,pred_points,pred_selection_rank,pred_selection_true,actual_selection_rank,actual_selection_true
335982,AA Noffke,AllRounder,Royal Challengers Bangalore,10,37.0,36.062088014531625,54.09313202179744,1.0,1.0,4.0,1.0
335982,AB Agarkar,Bowler,Kolkata Knight Riders,10,118.5,28.490977805350504,28.490977805350504,,,1.0,1.0
335982,AB Dinda,Bowler,Kolkata Knight Riders,10,56.0,28.490977805350504,28.490977805350504,,,3.0,1.0
335982,B Akhil,Bowler,Royal Challengers Bangalore,10,-2.0,28.701431542352925,28.701431542352925,7.0,1.0,,
335982,BB McCullum,Batsmen,Kolkata Knight Riders,10,458.0,27.92363416157089,27.92363416157089,,,0.0,1.0
335982,CL White,Batsmen,Royal Challengers Bangalore,10,0.0,27.671388764541675,27.671388764541675,,,,
335982,DJ Hussey,Batsmen,Kolkata Knight Riders,10,13.0,27.92363416157089,27.92363416157089,10.0,1.0,,
335982,I Sharma,Bowler,Kolkata Knight Riders,10,31.0,28.490977805350504,28.490977805350504,,,7.0,1.0
335982,JH Kallis,AllRounder,Royal Challengers Bangalore,10,30.0,36.062088014531625,72.12417602906325,0.0,1.0,8.0,1.0
335982,LR Shukla,AllRounder,Kolkata Knight Riders,10,35.0,35.791306670710256,35.791306670710256,3.0,1.0,6.0,1.0
335982,MV Boucher,Batsmen,Royal Challengers Bangalore,10,11.0,27.671388764541675,27.671388764541675,,,,
335982,Mohammad Hafeez,AllRounder,Kolkata Knight Riders,10,6.0,35.791306670710256,35.791306670710256,2.0,1.0,,
335982,P Kumar,Bowler,Royal Challengers Bangalore,10,36.0,28.701431542352925,28.701431542352925,6.0,1.0,5.0,1.0
335982,R Dravid,Batsmen,Royal Challengers Bangalore,10,2.0,27.671388764541675,27.671388764541675,,,,
335982,RT Ponting,Batsmen,Kolkata Knight Riders,10,28.0,27.92363416157089,27.92363416157089,9.0,1.0,9.0,1.0
335982,SB Joshi,Bowler,Royal Challengers Bangalore,10,5.0,28.701431542352925,28.701431542352925,5.0,1.0,,
335982,SC Ganguly,Batsmen,Kolkata Knight Riders,10,68.0,27.92363416157089,27.92363416157089,8.0,1.0,2.0,1.0
335982,V Kohli,Batsmen,Royal Challengers Bangalore,10,6.0,27.671388764541675,27.671388764541675,,,,
335982,W Jaffer,Batsmen,Royal Challengers Bangalore,10,8.0,27.671388764541675,27.671388764541675,,,,
335982,Z Khan,Bowler,Royal Challengers Bangalore,10,26.0,28.701431542352925,28.701431542352925,4.0,1.0,10.0,1.0
335983,B Lee,Bowler,Kings XI Punjab,10,25.0,28.754909384765373,28.754909384765373,6.0,1.0,9.0,1.0
335983,IK Pathan,AllRounder,Kings XI Punjab,10,47.0,37.099419646296184,37.099419646296184,2.0,1.0,3.0,1.0
335983,JDP Oram,Bowler,Chennai Super Kings,10,14.0,28.041234754257086,28.041234754257086,,,,
335983,JR Hopes,AllRounder,Kings XI Punjab,10,172.5,37.099419646296184,55.649129469444276,1.0,1.0,1.0,1.0
335983,Joginder Sharma,Bowler,Chennai Super Kings,10,19.0,28.041234754257086,28.041234754257086,,,,
