iter	RMSE
0	30.61066893
1	30.55885975
2	30.50957728
3	30.46363882
4	30.41447446
5	30.36991686
6	30.33410684
7	30.29699104
8	30.26016905
9	30.22338644
10	30.19387608
11	30.16188797
12	30.12549481
13	30.0974094
14	30.06766868
15	30.0343547
16	30.0093909
17	29.98796228
18	29.9631486
19	29.93957511
20	29.91221629
21	29.88537033
22	29.86620223
23	29.84586634
24	29.82391957
25	29.80635809
26	29.78753802
27	29.76489548
28	29.74586152
29	29.72809715
30	29.70207645
31	29.68566889
32	29.66382132
33	29.64691184
34	29.62815792
35	29.60724436
36	29.58942166
37	29.58049862
38	29.56402631
39	29.54885369
40	29.53417901
41	29.51487886
42	29.50111836
43	29.48563213
44	29.46648322
45	29.44985896
46	29.43350019
47	29.41341234
48	29.39559218
49	29.38516599
50	29.36874143
51	29.35661636
52	29.34039378
53	29.32504173
54	29.31248364
55	29.29017006
56	29.28137189
57	29.27343826
58	29.26036462
59	29.25129294
60	29.24065771
61	29.22371249
62	29.21207156
63	29.20389052
64	29.19393769
65	29.17773595
66	29.16833175
67	29.16286043
68	29.15186875
69	29.13684918
70	29.12441189
71	29.11735747
72	29.11208874
73	29.10215042
74	29.09308936
75	29.08048236
76	29.07483353
77	29.06172585
78	29.04758086
79	29.03341257
80	29.02395188
81	29.00715705
82	28.99643536
83	28.9835077
84	28.97438057
85	28.96796707
86	28.95057913
87	28.93859238
88	28.93280423
89	28.92008071
90	28.91010775
91	28.90287291
92	28.88940736
93	28.87645991
94	28.86341532
95	28.85222314
96	28.84124369
97	28.83035554
98	28.81895948
99	28.8103607
