iter	Passed	Remaining
0	32	3199
1	43	2128
2	71	2323
3	83	1994
4	96	1828
5	120	1893
6	132	1758
7	143	1649
8	168	1699
9	179	1619
10	191	1545
11	208	1532
12	225	1511
13	237	1456
14	248	1410
15	264	1390
16	275	1345
17	286	1305
18	297	1270
19	313	1255
20	324	1222
21	336	1193
22	348	1165
23	365	1158
24	376	1130
25	387	1102
26	400	1083
27	418	1075
28	431	1057
29	442	1033
30	460	1024
31	473	1007
32	510	1037
33	523	1016
34	541	1005
35	566	1006
36	583	993
37	614	1002
38	626	980
39	637	956
40	653	939
41	667	921
42	678	898
43	688	876
44	704	861
45	717	842
46	728	821
47	739	801
48	756	787
49	769	769
50	780	749
51	791	731
52	808	716
53	819	698
54	829	678
55	842	662
56	860	649
57	870	630
58	881	612
59	897	598
60	914	584
61	927	568
62	939	551
63	954	537
64	965	520
65	978	503
66	993	489
67	1010	475
68	1021	459
69	1032	442
70	1049	428
71	1062	413
72	1072	396
73	1084	380
74	1100	366
75	1114	351
76	1124	336
77	1136	320
78	1150	305
79	1161	290
80	1173	275
81	1184	259
82	1200	245
83	1217	231
84	1229	217
85	1240	201
86	1254	187
87	1264	172
88	1275	157
89	1286	142
90	1306	129
91	1326	115
92	1343	101
93	1360	86
94	1376	72
95	1392	58
96	1408	43
97	1427	29
98	1441	14
99	1455	0
