matchid,date,year,city,venue,team1,team2,result,tossdecision,winner,by_what,by_how_many,mom
1216492,2020-09-19T14:00Z,2020,"Sheikh Zayed Stadium, Abu Dhabi","Sheikh Zayed Stadium, Abu Dhabi",Mumbai Indians,Chennai Super Kings,Super Kings won by 5 wickets,,Chennai Super Kings,wickets,[5],
1216493,2020-09-20T14:00Z,2020,Dubai International Cricket Stadium,Dubai International Cricket Stadium,Delhi Capitals,Kings XI Punjab,Match tied (Delhi Capitals won the one-over eliminator),,Match Tied/Cancelled/Not yet ended,,[],
1216534,2020-09-21T14:00Z,2020,Dubai International Cricket Stadium,Dubai International Cricket Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,RCB won by 10 runs,,Royal Challengers Bangalore,runs,[10],
1216496,2020-09-22T14:00Z,2020,Sharjah Cricket Stadium,Sharjah Cricket Stadium,Rajasthan Royals,Chennai Super Kings,Royals won by 16 runs,,Rajasthan Royals,runs,[16],
1216508,2020-09-23T14:00Z,2020,"Sheikh Zayed Stadium, Abu Dhabi","Sheikh Zayed Stadium, Abu Dhabi",Mumbai Indians,Kolkata Knight Riders,MUM Indians won by 49 runs,,Mumbai Indians,runs,[49],
1216510,2020-09-24T14:00Z,2020,Dubai International Cricket Stadium,Dubai International Cricket Stadium,Kings XI Punjab,Royal Challengers Bangalore,Kings XI won by 97 runs,,Kings XI Punjab,runs,[97],
1216539,2020-09-25T14:00Z,2020,Dubai International Cricket Stadium,Dubai International Cricket Stadium,Delhi Capitals,Chennai Super Kings,Capitals won by 44 runs,,Delhi Capitals,runs,[44],
1216545,2020-09-26T14:00Z,2020,"Sheikh Zayed Stadium, Abu Dhabi","Sheikh Zayed Stadium, Abu Dhabi",Sunrisers Hyderabad,Kolkata Knight Riders,KKR won by 7 wickets,,Kolkata Knight Riders,wickets,[7],
1216527,2020-09-27T14:00Z,2020,Sharjah Cricket Stadium,Sharjah Cricket Stadium,Kings XI Punjab,Rajasthan Royals,Royals won by 4 wickets,,Rajasthan Royals,wickets,[4],
1216547,2020-09-28T14:00Z,2020,Dubai International Cricket Stadium,Dubai International Cricket Stadium,Royal Challengers Bangalore,Mumbai Indians,Match tied (Royal Challengers Bangalore won the one-over eliminator),,Match Tied/Cancelled/Not yet ended,,[],
1216532,2020-09-29T14:00Z,2020,"Sheikh Zayed Stadium, Abu Dhabi","Sheikh Zayed Stadium, Abu Dhabi",Sunrisers Hyderabad,Delhi Capitals,Sunrisers won by 15 runs,,Sunrisers Hyderabad,runs,[15],
1216504,2020-09-30T14:00Z,2020,Dubai International Cricket Stadium,Dubai International Cricket Stadium,Kolkata Knight Riders,Rajasthan Royals,KKR won by 37 runs,,Kolkata Knight Riders,runs,[37],
1216503,2020-10-01T14:00Z,2020,"Sheikh Zayed Stadium, Abu Dhabi","Sheikh Zayed Stadium, Abu Dhabi",Mumbai Indians,Kings XI Punjab,MUM Indians won by 48 runs,,Mumbai Indians,runs,[48],
1216516,2020-10-02T14:00Z,2020,Dubai International Cricket Stadium,Dubai International Cricket Stadium,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers won by 7 runs,,Sunrisers Hyderabad,runs,[7],
1216514,2020-10-03T10:00Z,2020,"Sheikh Zayed Stadium, Abu Dhabi","Sheikh Zayed Stadium, Abu Dhabi",Rajasthan Royals,Royal Challengers Bangalore,RCB won by 8 wickets,,Royal Challengers Bangalore,wickets,[8],
1216515,2020-10-03T14:00Z,2020,Sharjah Cricket Stadium,Sharjah Cricket Stadium,Delhi Capitals,Kolkata Knight Riders,Capitals won by 18 runs,,Delhi Capitals,runs,[18],
1216538,2020-10-04T10:00Z,2020,Sharjah Cricket Stadium,Sharjah Cricket Stadium,Mumbai Indians,Sunrisers Hyderabad,MUM Indians won by 34 runs,,Mumbai Indians,runs,[34],
1216513,2020-10-04T14:00Z,2020,Dubai International Cricket Stadium,Dubai International Cricket Stadium,Kings XI Punjab,Chennai Super Kings,Super Kings won by 10 wickets,,Chennai Super Kings,wickets,[10],
1216519,2020-10-05T14:00Z,2020,Dubai International Cricket Stadium,Dubai International Cricket Stadium,Delhi Capitals,Royal Challengers Bangalore,Capitals won by 59 runs,,Delhi Capitals,runs,[59],
1216511,2020-10-06T14:00Z,2020,"Sheikh Zayed Stadium, Abu Dhabi","Sheikh Zayed Stadium, Abu Dhabi",Mumbai Indians,Rajasthan Royals,MUM Indians won by 57 runs,,Mumbai Indians,runs,[57],
1216501,2020-10-07T14:00Z,2020,"Sheikh Zayed Stadium, Abu Dhabi","Sheikh Zayed Stadium, Abu Dhabi",Kolkata Knight Riders,Chennai Super Kings,KKR won by 10 runs,,Kolkata Knight Riders,runs,[10],
1216542,2020-10-08T14:00Z,2020,Dubai International Cricket Stadium,Dubai International Cricket Stadium,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers won by 69 runs,,Sunrisers Hyderabad,runs,[69],
1216500,2020-10-09T14:00Z,2020,Sharjah Cricket Stadium,Sharjah Cricket Stadium,Delhi Capitals,Rajasthan Royals,Capitals won by 46 runs,,Delhi Capitals,runs,[46],
1216523,2020-10-10T10:00Z,2020,"Sheikh Zayed Stadium, Abu Dhabi","Sheikh Zayed Stadium, Abu Dhabi",Kolkata Knight Riders,Kings XI Punjab,KKR won by 2 runs,,Kolkata Knight Riders,runs,[2],
1216525,2020-10-10T14:00Z,2020,Dubai International Cricket Stadium,Dubai International Cricket Stadium,Royal Challengers Bangalore,Chennai Super Kings,RCB won by 37 runs,,Royal Challengers Bangalore,runs,[37],
1216507,2020-10-11T10:00Z,2020,Dubai International Cricket Stadium,Dubai International Cricket Stadium,Sunrisers Hyderabad,Rajasthan Royals,Royals won by 5 wickets,,Rajasthan Royals,wickets,[5],
1216529,2020-10-11T14:00Z,2020,"Sheikh Zayed Stadium, Abu Dhabi","Sheikh Zayed Stadium, Abu Dhabi",Delhi Capitals,Mumbai Indians,MUM Indians won by 5 wickets,,Mumbai Indians,wickets,[5],
1216540,2020-10-12T14:00Z,2020,Sharjah Cricket Stadium,Sharjah Cricket Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,RCB won by 82 runs,,Royal Challengers Bangalore,runs,[82],
1216528,2020-10-13T14:00Z,2020,Dubai International Cricket Stadium,Dubai International Cricket Stadium,Chennai Super Kings,Sunrisers Hyderabad,Super Kings won by 20 runs,,Chennai Super Kings,runs,[20],
1216543,2020-10-14T14:00Z,2020,Dubai International Cricket Stadium,Dubai International Cricket Stadium,Delhi Capitals,Rajasthan Royals,Capitals won by 13 runs,,Delhi Capitals,runs,[13],
1216531,2020-10-15T14:00Z,2020,Sharjah Cricket Stadium,Sharjah Cricket Stadium,Royal Challengers Bangalore,Kings XI Punjab,Kings XI won by 8 wickets,,Kings XI Punjab,wickets,[8],
1216526,2020-10-16T14:00Z,2020,"Sheikh Zayed Stadium, Abu Dhabi","Sheikh Zayed Stadium, Abu Dhabi",Kolkata Knight Riders,Mumbai Indians,MUM Indians won by 8 wickets,,Mumbai Indians,wickets,[8],
1216522,2020-10-17T10:00Z,2020,Dubai International Cricket Stadium,Dubai International Cricket Stadium,Rajasthan Royals,Royal Challengers Bangalore,RCB won by 7 wickets,,Royal Challengers Bangalore,wickets,[7],
1216509,2020-10-17T14:00Z,2020,Sharjah Cricket Stadium,Sharjah Cricket Stadium,Chennai Super Kings,Delhi Capitals,Capitals won by 5 wickets,,Delhi Capitals,wickets,[5],
1216512,2020-10-18T10:00Z,2020,"Sheikh Zayed Stadium, Abu Dhabi","Sheikh Zayed Stadium, Abu Dhabi",Kolkata Knight Riders,Sunrisers Hyderabad,Match tied (Kolkata Knight Riders won the one-over eliminator),,Match Tied/Cancelled/Not yet ended,,[],
1216517,2020-10-18T14:00Z,2020,Dubai International Cricket Stadium,Dubai International Cricket Stadium,Mumbai Indians,Kings XI Punjab,Match tied (Kings XI Punjab won the one-over eliminator),,Match Tied/Cancelled/Not yet ended,,[],
1216533,2020-10-19T14:00Z,2020,"Sheikh Zayed Stadium, Abu Dhabi","Sheikh Zayed Stadium, Abu Dhabi",Chennai Super Kings,Rajasthan Royals,Royals won by 7 wickets,,Rajasthan Royals,wickets,[7],
1216546,2020-10-20T14:00Z,2020,Dubai International Cricket Stadium,Dubai International Cricket Stadium,Delhi Capitals,Kings XI Punjab,Kings XI won by 5 wickets,,Kings XI Punjab,wickets,[5],
1216494,2020-10-21T14:00Z,2020,"Sheikh Zayed Stadium, Abu Dhabi","Sheikh Zayed Stadium, Abu Dhabi",Kolkata Knight Riders,Royal Challengers Bangalore,RCB won by 8 wickets,,Royal Challengers Bangalore,wickets,[8],
1216518,2020-10-22T14:00Z,2020,Dubai International Cricket Stadium,Dubai International Cricket Stadium,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers won by 8 wickets,,Sunrisers Hyderabad,wickets,[8],
1216521,2020-10-23T14:00Z,2020,Sharjah Cricket Stadium,Sharjah Cricket Stadium,Chennai Super Kings,Mumbai Indians,MUM Indians won by 10 wickets,,Mumbai Indians,wickets,[10],
1216497,2020-10-24T10:00Z,2020,"Sheikh Zayed Stadium, Abu Dhabi","Sheikh Zayed Stadium, Abu Dhabi",Kolkata Knight Riders,Delhi Capitals,KKR won by 59 runs,,Kolkata Knight Riders,runs,[59],
1216498,2020-10-24T14:00Z,2020,Dubai International Cricket Stadium,Dubai International Cricket Stadium,Kings XI Punjab,Sunrisers Hyderabad,Kings XI won by 12 runs,,Kings XI Punjab,runs,[12],
1216544,2020-10-25T10:00Z,2020,Dubai International Cricket Stadium,Dubai International Cricket Stadium,Royal Challengers Bangalore,Chennai Super Kings,Super Kings won by 8 wickets,,Chennai Super Kings,wickets,[8],
1216541,2020-10-25T14:00Z,2020,"Sheikh Zayed Stadium, Abu Dhabi","Sheikh Zayed Stadium, Abu Dhabi",Mumbai Indians,Rajasthan Royals,Royals won by 8 wickets,,Rajasthan Royals,wickets,[8],
1216520,2020-10-26T14:00Z,2020,Sharjah Cricket Stadium,Sharjah Cricket Stadium,Kolkata Knight Riders,Kings XI Punjab,Kings XI won by 8 wickets,,Kings XI Punjab,wickets,[8],
1216524,2020-10-27T14:00Z,2020,Dubai International Cricket Stadium,Dubai International Cricket Stadium,Sunrisers Hyderabad,Delhi Capitals,Sunrisers won by 88 runs,,Sunrisers Hyderabad,runs,[88],
1216499,2020-10-28T14:00Z,2020,"Sheikh Zayed Stadium, Abu Dhabi","Sheikh Zayed Stadium, Abu Dhabi",Royal Challengers Bangalore,Mumbai Indians,MUM Indians won by 5 wickets,,Mumbai Indians,wickets,[5],
1216536,2020-10-29T14:00Z,2020,Dubai International Cricket Stadium,Dubai International Cricket Stadium,Kolkata Knight Riders,Chennai Super Kings,Super Kings won by 6 wickets,,Chennai Super Kings,wickets,[6],
1216537,2020-10-30T14:00Z,2020,"Sheikh Zayed Stadium, Abu Dhabi","Sheikh Zayed Stadium, Abu Dhabi",Kings XI Punjab,Rajasthan Royals,Royals won by 7 wickets,,Rajasthan Royals,wickets,[7],
1216535,2020-10-31T10:00Z,2020,Dubai International Cricket Stadium,Dubai International Cricket Stadium,Delhi Capitals,Mumbai Indians,MUM Indians won by 9 wickets,,Mumbai Indians,wickets,[9],
1216502,2020-10-31T14:00Z,2020,Sharjah Cricket Stadium,Sharjah Cricket Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers won by 5 wickets,,Sunrisers Hyderabad,wickets,[5],
1216506,2020-11-01T10:00Z,2020,"Sheikh Zayed Stadium, Abu Dhabi","Sheikh Zayed Stadium, Abu Dhabi",Kings XI Punjab,Chennai Super Kings,Super Kings won by 9 wickets,,Chennai Super Kings,wickets,[9],
1216530,2020-11-01T14:00Z,2020,Dubai International Cricket Stadium,Dubai International Cricket Stadium,Kolkata Knight Riders,Rajasthan Royals,KKR won by 60 runs,,Kolkata Knight Riders,runs,[60],
1216505,2020-11-02T14:00Z,2020,"Sheikh Zayed Stadium, Abu Dhabi","Sheikh Zayed Stadium, Abu Dhabi",Royal Challengers Bangalore,Delhi Capitals,Capitals won by 6 wickets,,Delhi Capitals,wickets,[6],
1216495,2020-11-03T14:00Z,2020,Sharjah Cricket Stadium,Sharjah Cricket Stadium,Mumbai Indians,Sunrisers Hyderabad,Sunrisers won by 10 wickets,,Sunrisers Hyderabad,wickets,[10],
