awayscore,ball,batsman,batsmanid,batsmanteam,bowler,bowlerid,bowlerteam,by_how_many,by_what,city,date,dismissal,dismissaltype,eventid,extras,fallofwickets,homescore,innings,ipl_season,matchid,mom,nonstriker,nonstrikerid,otherathleteinvolved,otherathleteinvolvedid,over,remainingballs,result,runrate,runs,scorevalue,sequence,target,team1,team2,tossdecision,validball,venue,winner,year
0,1,Rohit Sharma,34102,Mumbai Indians,Deepak Chahar,447261,Chennai Super Kings,,,,,False,,1216492,0,0,4/0,1st innings,ipl20,,,Quinton de Kock,379143,,,0.1,119,,24.0,4,4,100001,0,,,,0,,,
0,2,Rohit Sharma,34102,Mumbai Indians,Deepak Chahar,447261,Chennai Super Kings,,,,,False,,1216492,0,0,5/0,1st innings,ipl20,,,Quinton de Kock,379143,,,0.2,118,,15.0,1,1,100002,0,,,,0,,,
0,3,Quinton de Kock,379143,Mumbai Indians,Deepak Chahar,447261,Chennai Super Kings,,,,,False,,1216492,0,0,7/0,1st innings,ipl20,,,Rohit Sharma,34102,,,0.3,117,,14.0,2,2,100003,0,,,,0,,,
0,4,Quinton de Kock,379143,Mumbai Indians,Deepak Chahar,447261,Chennai Super Kings,,,,,False,,1216492,0,0,11/0,1st innings,ipl20,,,Rohit Sharma,34102,,,0.4,116,,16.5,4,4,100004,0,,,,0,,,
0,5,Quinton de Kock,379143,Mumbai Indians,Deepak Chahar,447261,Chennai Super Kings,,,,,False,,1216492,0,0,11/0,1st innings,ipl20,,,Rohit Sharma,34102,,,0.5,115,,13.2,0,0,100005,0,,,,0,,,
0,6,Quinton de Kock,379143,Mumbai Indians,Deepak Chahar,447261,Chennai Super Kings,,,,,False,,1216492,0,0,12/0,1st innings,ipl20,,,Rohit Sharma,34102,,,0.6,114,,12.0,1,1,100006,0,,,,0,,,
0,7,Quinton de Kock,379143,Mumbai Indians,Sam Curran,662973,Chennai Super Kings,,,,,False,,1216492,0,0,12/0,1st innings,ipl20,,,Rohit Sharma,34102,,,1.1,113,,10.28,0,0,100101,0,,,,0,,,
0,8,Quinton de Kock,379143,Mumbai Indians,Sam Curran,662973,Chennai Super Kings,,,,,False,,1216492,0,0,12/0,1st innings,ipl20,,,Rohit Sharma,34102,,,1.2,112,,9.0,0,0,100102,0,,,,0,,,
0,9,Quinton de Kock,379143,Mumbai Indians,Sam Curran,662973,Chennai Super Kings,,,,,False,,1216492,0,0,13/0,1st innings,ipl20,,,Rohit Sharma,34102,,,1.3,111,,8.66,1,1,100103,0,,,,0,,,
0,10,Rohit Sharma,34102,Mumbai Indians,Sam Curran,662973,Chennai Super Kings,,,,,False,,1216492,0,0,17/0,1st innings,ipl20,,,Quinton de Kock,379143,,,1.4,110,,10.2,4,4,100104,0,,,,0,,,
