date,matchid,innings,target,fallofwickets,ball,over,scorevalue,validball,extras,extratype,batsmanname,batsmanscorevalue,bowlername,nonstrikername,totalruns,dismissal,dismissedtype,dismissedplayer,battingteam,bowlingteam
2020-10-06,1216511,1st innings,0,0,1,0.1,4,0,0,Nan,Q de Kock,4,AS Rajpoot,RG Sharma,4,False,,,Mumbai Indians,Rajasthan Royals
2020-10-06,1216511,1st innings,0,0,1,0.1,1,1,1,Nan,Q de Kock,1,AS Rajpoot,RG Sharma,5,False,,,Mumbai Indians,Rajasthan Royals
2020-10-06,1216511,1st innings,0,0,2,0.2,0,0,0,Nan,Q de Kock,0,AS Rajpoot,RG Sharma,5,False,,,Mumbai Indians,Rajasthan Royals
2020-10-06,1216511,1st innings,0,0,3,0.3,1,0,0,Nan,Q de Kock,1,AS Rajpoot,RG Sharma,6,False,,,Mumbai Indians,Rajasthan Royals
2020-10-06,1216511,1st innings,0,0,4,0.4,0,0,0,Nan,RG Sharma,0,AS Rajpoot,Q de Kock,6,False,,,Mumbai Indians,Rajasthan Royals
2020-10-06,1216511,1st innings,0,0,5,0.5,0,0,0,Nan,RG Sharma,0,AS Rajpoot,Q de Kock,6,False,,,Mumbai Indians,Rajasthan Royals
2020-10-06,1216511,1st innings,0,0,6,0.6,4,0,0,Nan,RG Sharma,4,AS Rajpoot,Q de Kock,10,False,,,Mumbai Indians,Rajasthan Royals
2020-10-06,1216511,1st innings,0,0,7,1.1,1,0,0,Nan,Q de Kock,1,S Gopal,RG Sharma,11,False,,,Mumbai Indians,Rajasthan Royals
2020-10-06,1216511,1st innings,0,0,8,1.2,0,0,0,Nan,RG Sharma,0,S Gopal,Q de Kock,11,False,,,Mumbai Indians,Rajasthan Royals
2020-10-06,1216511,1st innings,0,0,9,1.3,1,0,0,Nan,RG Sharma,1,S Gopal,Q de Kock,12,False,,,Mumbai Indians,Rajasthan Royals
2020-10-06,1216511,1st innings,0,0,10,1.4,0,0,0,Nan,Q de Kock,0,S Gopal,RG Sharma,12,False,,,Mumbai Indians,Rajasthan Royals
2020-10-06,1216511,1st innings,0,0,11,1.5,1,0,0,Nan,Q de Kock,1,S Gopal,RG Sharma,13,False,,,Mumbai Indians,Rajasthan Royals
2020-10-06,1216511,1st innings,0,0,12,1.6,1,0,0,Nan,RG Sharma,1,S Gopal,Q de Kock,14,False,,,Mumbai Indians,Rajasthan Royals
