ipl20_name,old_name
Rohit Sharma,RG Sharma
Quinton de Kock,Q de Kock
Suryakumar Yadav,SA Yadav
Saurabh Tiwary,SS Tiwary
Hardik Pandya,HH Pandya
Kieron Pollard,KA Pollard
Krunal Pandya,KH Pandya
James Pattinson,James Pattinson
Rahul Chahar,RD Chahar
Trent Boult,TA Boult
Jasprit Bumrah,JJ Bumrah
Murali Vijay,M Vijay
Shane Watson,SR Watson
Faf du Plessis,F du Plessis
Ambati Rayudu,AT Rayudu
Ravindra Jadeja,RA Jadeja
Sam Curran,SM Curran
MS Dhoni,MS Dhoni
Kedar Jadhav,KM Jadhav
Piyush Chawla,PP Chawla
Deepak Chahar,DL Chahar
Lungi Ngidi,Lungi Ngidi
Prithvi Shaw,PP Shaw
Shikhar Dhawan,S Dhawan
Shimron Hetmyer,SO Hetmyer
Shreyas Iyer,SS Iyer
Rishabh Pant,RR Pant
Marcus Stoinis,MP Stoinis
Axar Patel,AR Patel
Ravichandran Ashwin,R Ashwin
Kagiso Rabada,K Rabada
Anrich Nortje,Anrich Nortje
Mohit Sharma,MM Sharma
KL Rahul,KL Rahul
Mayank Agarwal,MA Agarwal
Karun Nair,KK Nair
Nicholas Pooran,N Pooran
Glenn Maxwell,GJ Maxwell
Sarfaraz Khan,SN Khan
Krishnappa Gowtham,K Gowtham
Chris Jordan,CJ Jordan
Mohammed Shami,Mohammed Shami
Sheldon Cottrell,Sheldon Cottrell
Ravi Bishnoi,R Bishnoi
Dinesh Karthik,KD Karthik
Ali Khan,Ali Khan
Tom Banton,Tom Banton
Pat Cummins,PJ Cummins
Lockie Ferguson,LH Ferguson
Chris Green,RJ Harris
Kuldeep Yadav,Kuldeep Yadav
Siddhesh Lad,SD Lad
Eoin Morgan,EJG Morgan
Kamlesh Nagarkoti,Kamlesh Nagarkoti
Nikhil Naik,NS Naik
Sunil Narine,SP Narine
Prasidh Krishna,M Prasidh Krishna
Nitish Rana,N Rana
Andre Russell,AD Russell
Sandeep Warrier,Sandeep Warrier
Shivam Mavi,Shivam Mavi
Shubman Gill,Shubman Gill
Manimaran Siddharth,Manimaran Siddharth
Rinku Singh,Rinku Singh
Rahul Tripathi,RA Tripathi
Varun Chakravarthy,Varun Chakravarthy
Virat Kohli,V Kohli
Moeen Ali,MM Ali
Yuzvendra Chahal,YS Chahal
Pavan Deshpande,Pavan Deshpande
AB de Villiers,AB de Villiers
Shivam Dube,S Dube
Aaron Finch,AJ Finch
Gurkeerat Singh Mann,Gurkeerat Singh
Mohammed Siraj,Mohammed Siraj
Chris Morris,CH Morris
Pawan Negi,P Negi
Devdutt Padikkal,Devdutt Padikkal
Parthiv Patel,PA Patel
Josh Philippe,Josh Philippe
Shahbaz Ahmed,Shahbaz Ahmed
Navdeep Saini,NA Saini
Dale Steyn,DW Steyn
Isuru Udana,Isuru Udana
Washington Sundar,Washington Sundar
Umesh Yadav,UT Yadav
Adam Zampa,A Zampa
David Warner,DA Warner
Abdul Samad,Abdul Samad
Abhishek Sharma,Abhishek Sharma
Khaleel Ahmed,KK Ahmed
Fabian Allen,Fabian Allen
Jonny Bairstow,JM Bairstow
Basil Thampi,Basil Thampi
Priyam Garg,Priyam Garg
Shreevats Goswami,SP Goswami
Jason Holder,JO Holder
Siddarth Kaul,S Kaul
Bhuvneshwar Kumar,P Kumar
Mohammad Nabi,Mohammad Nabi
Shahbaz Nadeem,S Nadeem
T Natarajan,T Natarajan
Manish Pandey,MK Pandey
Rashid Khan,Rashid Khan
Wriddhiman Saha,WP Saha
Bavanaka Sandeep,Bavanaka Sandeep
Sandeep Sharma,Sandeep Sharma
Sanjay Yadav,SA Yadav
Vijay Shankar,V Shankar
Billy Stanlake,B Stanlake
Virat Singh,V Pratap Singh
Kane Williamson,KS Williamson
Anmolpreet Singh,Anmolpreet Singh
Nathan Coulter-Nile,NM Coulter-Nile
Digvijay Deshmukh,Digvijay Deshmukh
Ishan Kishan,Ishan Kishan
Dhawal Kulkarni,DS Kulkarni
Chris Lynn,CA Lynn
Mitchell McClenaghan,MJ McClenaghan
Mohsin Khan,Mohsin Khan
Prince Balwant Rai,Prince Balwant Rai
Anukul Roy,Anukul Roy
Sherfane Rutherford,SE Rutherford
Aditya Tare,AP Tare
Jayant Yadav,AS Yadav
Yashasvi Jaiswal,S Kaul
Steven Smith,GC Smith
Sanju Samson,SV Samson
David Miller,DA Miller
Robin Uthappa,RV Uthappa
Rahul Tewatia,KL Rahul
Riyan Parag,R Parag
Tom Curran,TK Curran
Jofra Archer,JC Archer
Shreyas Gopal,S Gopal
Jaydev Unadkat,JD Unadkat
Ruturaj Gaikwad,AS Raut
