playername,iscaptain,position,profilelink,teamname
Robin Uthappa,False,Batsman,https://www.espncricinfo.com/ci/content/player/35582.html,RR
Yashasvi Jaiswal,False,Batsman,https://www.espncricinfo.com/ci/content/player/1151278.html,RR
Sanju Samson,False,Wicketkeeper,https://www.espncricinfo.com/ci/content/player/425943.html,RR
Steven Smith,True,Batsman,https://www.espncricinfo.com/ci/content/player/267192.html,RR
David Miller,False,Batsman,https://www.espncricinfo.com/ci/content/player/321777.html,RR
Riyan Parag,False,Batsman,https://www.espncricinfo.com/ci/content/player/1079434.html,RR
Shreyas Gopal,False,Allrounder,https://www.espncricinfo.com/ci/content/player/344580.html,RR
Tom Curran,False,Allrounder,https://www.espncricinfo.com/ci/content/player/550235.html,RR
Jofra Archer,False,Bowler,https://www.espncricinfo.com/ci/content/player/669855.html,RR
Rahul Tewatia,False,Bowler,https://www.espncricinfo.com/ci/content/player/423838.html,RR
Jaydev Unadkat,False,Bowler,https://www.espncricinfo.com/ci/content/player/390484.html,RR
