playername,iscaptain,position,profilelink,teamname
Shane Watson,False,Allrounder,https://www.espncricinfo.com/ci/content/player/8180.html,CSK
Murali Vijay,False,Batsman,https://www.espncricinfo.com/ci/content/player/237095.html,CSK
Faf du Plessis,False,Batsman,https://www.espncricinfo.com/ci/content/player/44828.html,CSK
Ruturaj Gaikwad,False,Batsman,https://www.espncricinfo.com/ci/content/player/1060380.html,CSK
MS Dhoni,True,Wicketkeeper,https://www.espncricinfo.com/ci/content/player/28081.html,CSK
Kedar Jadhav,False,Allrounder,https://www.espncricinfo.com/ci/content/player/290716.html,CSK
Ravindra Jadeja,False,Allrounder,https://www.espncricinfo.com/ci/content/player/234675.html,CSK
Sam Curran,False,Allrounder,https://www.espncricinfo.com/ci/content/player/662973.html,CSK
Piyush Chawla,False,Allrounder,https://www.espncricinfo.com/ci/content/player/32966.html,CSK
Deepak Chahar,False,Bowler,https://www.espncricinfo.com/ci/content/player/447261.html,CSK
Lungi Ngidi,False,Bowler,https://www.espncricinfo.com/ci/content/player/542023.html,CSK
