playername,iscaptain,position,profilelink,teamname
Yashasvi Jaiswal,False,Batsman,https://www.espncricinfo.com/ci/content/player/1151278.html,RR
Steven Smith,True,Batsman,https://www.espncricinfo.com/ci/content/player/267192.html,RR
Sanju Samson,False,Wicketkeeper,https://www.espncricinfo.com/ci/content/player/425943.html,RR
David Miller,False,Batsman,https://www.espncricinfo.com/ci/content/player/321777.html,RR
Robin Uthappa,False,Batsman,https://www.espncricinfo.com/ci/content/player/35582.html,RR
Rahul Tewatia,False,Bowler,https://www.espncricinfo.com/ci/content/player/423838.html,RR
Riyan Parag,False,Batsman,https://www.espncricinfo.com/ci/content/player/1079434.html,RR
Tom Curran,False,Allrounder,https://www.espncricinfo.com/ci/content/player/550235.html,RR
Jofra Archer,False,Bowler,https://www.espncricinfo.com/ci/content/player/669855.html,RR
Shreyas Gopal,False,Allrounder,https://www.espncricinfo.com/ci/content/player/344580.html,RR
Jaydev Unadkat,False,Bowler,https://www.espncricinfo.com/ci/content/player/390484.html,RR
Murali Vijay,False,Batsman,https://www.espncricinfo.com/ci/content/player/237095.html,CSK
Shane Watson,False,Allrounder,https://www.espncricinfo.com/ci/content/player/8180.html,CSK
Faf du Plessis,False,Batsman,https://www.espncricinfo.com/ci/content/player/44828.html,CSK
Sam Curran,False,Allrounder,https://www.espncricinfo.com/ci/content/player/662973.html,CSK
Ruturaj Gaikwad,False,Batsman,https://www.espncricinfo.com/ci/content/player/1060380.html,CSK
Kedar Jadhav,False,Allrounder,https://www.espncricinfo.com/ci/content/player/290716.html,CSK
MS Dhoni,True,Wicketkeeper,https://www.espncricinfo.com/ci/content/player/28081.html,CSK
Ravindra Jadeja,False,Allrounder,https://www.espncricinfo.com/ci/content/player/234675.html,CSK
Piyush Chawla,False,Allrounder,https://www.espncricinfo.com/ci/content/player/32966.html,CSK
Deepak Chahar,False,Bowler,https://www.espncricinfo.com/ci/content/player/447261.html,CSK
Lungi Ngidi,False,Bowler,https://www.espncricinfo.com/ci/content/player/542023.html,CSK
