iscaptain,position,profilelink,teamname,playername
False,Batsman,https://www.espncricinfo.com/ci/content/player/1119026.html,RCB,Devdutt Padikkal
False,Batsman,https://www.espncricinfo.com/ci/content/player/5334.html,RCB,AJ Finch
True,Batsman,https://www.espncricinfo.com/ci/content/player/253802.html,RCB,V Kohli
False,Wicketkeeper,https://www.espncricinfo.com/ci/content/player/44936.html,RCB,AB de Villiers
False,Allrounder,https://www.espncricinfo.com/ci/content/player/8917.html,RCB,MM Ali
False,Allrounder,https://www.espncricinfo.com/ci/content/player/714451.html,RCB,S Dube
False,Allrounder,https://www.espncricinfo.com/ci/content/player/719715.html,RCB,Washington Sundar
False,Allrounder,https://www.espncricinfo.com/ci/content/player/328026.html,RCB,I Udana
False,Bowler,https://www.espncricinfo.com/ci/content/player/700167.html,RCB,NA Saini
False,Bowler,https://www.espncricinfo.com/ci/content/player/430246.html,RCB,YS Chahal
False,Bowler,https://www.espncricinfo.com/ci/content/player/940973.html,RCB,M Siraj
False,Batsman,https://www.espncricinfo.com/ci/content/player/1070168.html,DC,PP Shaw
False,Batsman,https://www.espncricinfo.com/ci/content/player/28235.html,DC,S Dhawan
True,Batsman,https://www.espncricinfo.com/ci/content/player/642519.html,DC,SS Iyer
False,Wicketkeeper,https://www.espncricinfo.com/ci/content/player/931581.html,DC,RR Pant
False,Batsman,https://www.espncricinfo.com/ci/content/player/325012.html,DC,MP Stoinis
False,Batsman,https://www.espncricinfo.com/ci/content/player/670025.html,DC,SO Hetmyer
False,Allrounder,https://www.espncricinfo.com/ci/content/player/554691.html,DC,AR Patel
False,Allrounder,https://www.espncricinfo.com/ci/content/player/26421.html,DC,R Ashwin
False,Bowler,https://www.espncricinfo.com/ci/content/player/550215.html,DC,K Rabada
False,Bowler,https://www.espncricinfo.com/ci/content/player/481979.html,DC,A Nortje
False,Bowler,https://www.espncricinfo.com/ci/content/player/390481.html,DC,HV Patel
