iscaptain,position,profilelink,teamname,new_playername
True,Batsman,https://www.espncricinfo.com/ci/content/player/267192.html,RR,SPD Smith
True,Batsman,https://www.espncricinfo.com/ci/content/player/267192.html,RR,SPD Smith
False,Wicketkeeper,https://www.espncricinfo.com/ci/content/player/308967.html,RR,JC Buttler
False,Batsman,https://www.espncricinfo.com/ci/content/player/425943.html,RR,SV Samson
False,Batsman,https://www.espncricinfo.com/ci/content/player/35582.html,RR,RV Uthappa
False,Batsman,https://www.espncricinfo.com/ci/content/player/1079434.html,RR,R Parag
False,Allrounder,https://www.espncricinfo.com/ci/content/player/550235.html,RR,TK Curran
False,Bowler,https://www.espncricinfo.com/ci/content/player/423838.html,RR,KL Rahul
False,Allrounder,https://www.espncricinfo.com/ci/content/player/344580.html,RR,S Gopal
False,Bowler,https://www.espncricinfo.com/ci/content/player/669855.html,RR,JC Archer
False,Bowler,https://www.espncricinfo.com/ci/content/player/591650.html,RR,AS Rajpoot
False,Bowler,https://www.espncricinfo.com/ci/content/player/390484.html,RR,JD Unadkat
True,Wicketkeeper,https://www.espncricinfo.com/ci/content/player/422108.html,KXIP,KL Rahul
False,Batsman,https://www.espncricinfo.com/ci/content/player/398438.html,KXIP,MA Agarwal
False,Batsman,https://www.espncricinfo.com/ci/content/player/604302.html,KXIP,N Pooran
False,Allrounder,https://www.espncricinfo.com/ci/content/player/325026.html,KXIP,GJ Maxwell
False,Batsman,https://www.espncricinfo.com/ci/content/player/398439.html,KXIP,KK Nair
False,Allrounder,https://www.espncricinfo.com/ci/content/player/355269.html,KXIP,JDS Neesham
False,Batsman,https://www.espncricinfo.com/ci/content/player/642525.html,KXIP,SN Khan
False,Bowler,https://www.espncricinfo.com/ci/content/player/481896.html,KXIP,Mohammed Shami
False,Bowler,https://www.espncricinfo.com/ci/content/player/495551.html,KXIP,Sheldon Cottrell
False,Bowler,https://www.espncricinfo.com/ci/content/player/1175441.html,KXIP,R Bishnoi
False,Bowler,https://www.espncricinfo.com/ci/content/player/528067.html,KXIP,M Ashwin
