ipl_season,sequence,eventid,innings,target,remainingballs,homescore,awayscore,fallofwickets,ball,over,scorevalue,validball,extras,dismissal,dismissaltype,batsmanid,batsman,batsmanteam,bowlerid,bowler,bowlerteam,otherathleteinvolvedid,otherathleteinvolved,nonstrikerid,nonstriker,runs,runrate
ipl21,100001,1254061,1st innings,0,119,0/0,0,0,1,0.1,0,0,0,False,,422108,KL Rahul,Punjab Kings,1131754,Chetan Sakariya,Rajasthan Royals,,,398438,Mayank Agarwal,0,0.0
ipl21,100002,1254061,1st innings,0,118,1/0,0,0,2,0.2,1,0,0,False,,422108,KL Rahul,Punjab Kings,1131754,Chetan Sakariya,Rajasthan Royals,,,398438,Mayank Agarwal,1,3.0
ipl21,100003,1254061,1st innings,0,117,5/0,0,0,3,0.3,4,0,0,False,,398438,Mayank Agarwal,Punjab Kings,1131754,Chetan Sakariya,Rajasthan Royals,,,422108,KL Rahul,4,10.0
ipl21,100004,1254061,1st innings,0,116,5/0,0,0,4,0.4,0,0,0,False,,398438,Mayank Agarwal,Punjab Kings,1131754,Chetan Sakariya,Rajasthan Royals,,,422108,KL Rahul,0,7.5
ipl21,100005,1254061,1st innings,0,115,6/0,0,0,5,0.5,1,0,0,False,,398438,Mayank Agarwal,Punjab Kings,1131754,Chetan Sakariya,Rajasthan Royals,,,422108,KL Rahul,1,7.2
ipl21,100006,1254061,1st innings,0,114,10/0,0,0,6,0.6,4,0,0,False,,422108,KL Rahul,Punjab Kings,1131754,Chetan Sakariya,Rajasthan Royals,,,398438,Mayank Agarwal,4,10.0
ipl21,100101,1254061,1st innings,0,113,12/0,0,0,7,1.1,2,0,0,False,,398438,Mayank Agarwal,Punjab Kings,330902,Mustafizur Rahman,Rajasthan Royals,,,422108,KL Rahul,2,10.28
ipl21,100102,1254061,1st innings,0,112,12/0,0,0,8,1.2,0,0,0,False,,398438,Mayank Agarwal,Punjab Kings,330902,Mustafizur Rahman,Rajasthan Royals,,,422108,KL Rahul,0,9.0
ipl21,100103,1254061,1st innings,0,111,13/0,0,0,9,1.3,1,0,0,False,,398438,Mayank Agarwal,Punjab Kings,330902,Mustafizur Rahman,Rajasthan Royals,,,422108,KL Rahul,1,8.66
ipl21,100104,1254061,1st innings,0,110,14/0,0,0,10,1.4,1,0,0,False,,422108,KL Rahul,Punjab Kings,330902,Mustafizur Rahman,Rajasthan Royals,,,398438,Mayank Agarwal,1,8.4
