matchid,date,year,city,venue,team1,team2,result,tossdecision,winner,by_what,by_how_many,mom
1254058,2021-04-09T14:00Z,2021,"MA Chidambaram Stadium, Chepauk, Chennai","MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Royal Challengers Bangalore,RCB won by 2 wickets,,Royal Challengers Bangalore,wickets,[2],
1254059,2021-04-10T14:00Z,2021,"Wankhede Stadium, Mumbai","Wankhede Stadium, Mumbai",Chennai Super Kings,Delhi Capitals,Capitals won by 7 wickets,,Delhi Capitals,wickets,[7],
1254060,2021-04-11T14:00Z,2021,"MA Chidambaram Stadium, Chepauk, Chennai","MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,Sunrisers Hyderabad,KKR won by 10 runs,,Kolkata Knight Riders,runs,[10],
1254061,2021-04-12T14:00Z,2021,"Wankhede Stadium, Mumbai","Wankhede Stadium, Mumbai",Punjab Kings,Rajasthan Royals,Punjab Kings won by 4 runs,,Punjab Kings,runs,[4],
1254062,2021-04-13T14:00Z,2021,"MA Chidambaram Stadium, Chepauk, Chennai","MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Kolkata Knight Riders,MUM Indians won by 10 runs,,Mumbai Indians,runs,[10],
1254063,2021-04-14T14:00Z,2021,"MA Chidambaram Stadium, Chepauk, Chennai","MA Chidambaram Stadium, Chepauk, Chennai",Royal Challengers Bangalore,Sunrisers Hyderabad,RCB won by 6 runs,,Royal Challengers Bangalore,runs,[6],
1254064,2021-04-15T14:00Z,2021,"Wankhede Stadium, Mumbai","Wankhede Stadium, Mumbai",Delhi Capitals,Rajasthan Royals,Royals won by 3 wickets,,Rajasthan Royals,wickets,[3],
1254065,2021-04-16T14:00Z,2021,"Wankhede Stadium, Mumbai","Wankhede Stadium, Mumbai",Punjab Kings,Chennai Super Kings,Super Kings won by 6 wickets,,Chennai Super Kings,wickets,[6],
1254066,2021-04-17T14:00Z,2021,"MA Chidambaram Stadium, Chepauk, Chennai","MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Sunrisers Hyderabad,MUM Indians won by 13 runs,,Mumbai Indians,runs,[13],
1254067,2021-04-18T10:00Z,2021,"MA Chidambaram Stadium, Chepauk, Chennai","MA Chidambaram Stadium, Chepauk, Chennai",Royal Challengers Bangalore,Kolkata Knight Riders,RCB won by 38 runs,,Royal Challengers Bangalore,runs,[38],
1254068,2021-04-18T14:00Z,2021,"Wankhede Stadium, Mumbai","Wankhede Stadium, Mumbai",Punjab Kings,Delhi Capitals,Capitals won by 6 wickets,,Delhi Capitals,wickets,[6],
1254069,2021-04-19T14:00Z,2021,"Wankhede Stadium, Mumbai","Wankhede Stadium, Mumbai",Chennai Super Kings,Rajasthan Royals,Super Kings won by 45 runs,,Chennai Super Kings,runs,[45],
1254070,2021-04-20T14:00Z,2021,"MA Chidambaram Stadium, Chepauk, Chennai","MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Delhi Capitals,Capitals won by 6 wickets,,Delhi Capitals,wickets,[6],
1254071,2021-04-21T10:00Z,2021,"MA Chidambaram Stadium, Chepauk, Chennai","MA Chidambaram Stadium, Chepauk, Chennai",Punjab Kings,Sunrisers Hyderabad,Sunrisers won by 9 wickets,,Sunrisers Hyderabad,wickets,[9],
1254072,2021-04-21T14:00Z,2021,"Wankhede Stadium, Mumbai","Wankhede Stadium, Mumbai",Chennai Super Kings,Kolkata Knight Riders,Super Kings won by 18 runs,,Chennai Super Kings,runs,[18],
1254073,2021-04-22T14:00Z,2021,"Wankhede Stadium, Mumbai","Wankhede Stadium, Mumbai",Rajasthan Royals,Royal Challengers Bangalore,RCB won by 10 wickets,,Royal Challengers Bangalore,wickets,[10],
1254074,2021-04-23T14:00Z,2021,"MA Chidambaram Stadium, Chepauk, Chennai","MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Punjab Kings,Punjab Kings won by 9 wickets,,Punjab Kings,wickets,[9],
1254075,2021-04-24T14:00Z,2021,"Wankhede Stadium, Mumbai","Wankhede Stadium, Mumbai",Kolkata Knight Riders,Rajasthan Royals,Royals won by 6 wickets,,Rajasthan Royals,wickets,[6],
1254076,2021-04-25T10:00Z,2021,"Wankhede Stadium, Mumbai","Wankhede Stadium, Mumbai",Chennai Super Kings,Royal Challengers Bangalore,Super Kings won by 69 runs,,Chennai Super Kings,runs,[69],
1254077,2021-04-25T14:00Z,2021,"MA Chidambaram Stadium, Chepauk, Chennai","MA Chidambaram Stadium, Chepauk, Chennai",Delhi Capitals,Sunrisers Hyderabad,Match tied (Delhi Capitals won the one-over eliminator),,Match Tied/Cancelled/Not yet ended,,[],
