matchid,playername,total_runs,total_balls_faced,total_legal_balls_faced,run_6,run_4,fallofwickets,batsmen_innings,batsmen_battingteam,batsmen_bowlingteam,total_wickets,total_balls_bowled,total_legal_balls_bowled,total_runs_given,maiden_overs,bowlers_innings,bowler_battingteam,bowler_bowlingteam,economy_rate,playing_role,total_runs_points,run_6_points,run_4_points,run_bonus_points,total_bat_points,total_wickets_points,economy_rate_points,maiden_overs_points,wicket_bonus_points,total_bowl_points,total_points,total_points_avg
335982,AA Noffke,11.0,12.0,12.0,,1.0,6.0,2nd innings,Royal Challengers Bangalore,Kolkata Knight Riders,1.0,25.0,25.0,35.0,0.0,1st innings,Kolkata Knight Riders,Royal Challengers Bangalore,8.4,All Rounder,121.0,,1.0,0,122.0,25.0,0,0.0,0,25.0,147.0,
335982,AB Agarkar,,,,,,,,,,3.0,28.0,28.0,21.0,0.0,2nd innings,Royal Challengers Bangalore,Kolkata Knight Riders,4.5,All Rounder,,,,0,0.0,75.0,4,0.0,0,79.0,79.0,
335982,AB Dinda,,,,,,,,,,2.0,20.0,20.0,7.0,0.0,2nd innings,Royal Challengers Bangalore,Kolkata Knight Riders,2.1,Bowler,,,,0,0.0,50.0,6,0.0,0,56.0,56.0,
335982,B Akhil,0.0,2.0,2.0,,,5.0,2nd innings,Royal Challengers Bangalore,Kolkata Knight Riders,,,,,,,,,,Bowler,0.0,,,-2,-2.0,,0,,0,0.0,-2.0,
335982,BB McCullum,169.0,77.0,77.0,13.0,10.0,0.0,1st innings,Kolkata Knight Riders,Royal Challengers Bangalore,,,,,,,,,,nan,28561.0,26.0,10.0,24,28621.0,,0,,0,0.0,28621.0,
335982,CL White,6.0,10.0,10.0,,,3.0,2nd innings,Royal Challengers Bangalore,Kolkata Knight Riders,,7.0,7.0,22.0,0.0,1st innings,Kolkata Knight Riders,Royal Challengers Bangalore,18.857142857142858,All Rounder,36.0,,,0,36.0,,-6,0.0,0,-6.0,30.0,
335982,DJ Hussey,12.0,12.0,12.0,,1.0,2.0,1st innings,Kolkata Knight Riders,Royal Challengers Bangalore,,,,,,,,,,All Rounder,144.0,,1.0,0,145.0,,0,,0,0.0,145.0,
335982,I Sharma,,,,,,,,,,1.0,19.0,19.0,6.0,0.0,2nd innings,Royal Challengers Bangalore,Kolkata Knight Riders,1.894736842105263,Bowler,,,,0,0.0,25.0,6,0.0,0,31.0,31.0,
335982,JH Kallis,9.0,7.0,7.0,1.0,,2.0,2nd innings,Royal Challengers Bangalore,Kolkata Knight Riders,1.0,25.0,25.0,47.0,0.0,1st innings,Kolkata Knight Riders,Royal Challengers Bangalore,11.28,All Rounder,81.0,2.0,,0,83.0,25.0,-6,0.0,0,19.0,102.0,
335982,LR Shukla,,,,,,,,,,1.0,9.0,9.0,9.0,1.0,2nd innings,Royal Challengers Bangalore,Kolkata Knight Riders,6.0,All Rounder,,,,0,0.0,25.0,2,8.0,0,35.0,35.0,
