matchid,pred_points_player,actual_points_player,pred_selection_cnt,accuracy,rewards_earned
335982,0.0,923.5,0.0,,0.0
335983,0.0,842.5,0.0,,0.0
335984,0.0,594.5,0.0,,0.0
335985,0.0,574.0,0.0,,0.0
335986,0.0,649.0,0.0,,0.0
335987,0.0,666.5,0.0,,0.0
335988,0.0,712.5,0.0,,0.0
335989,0.0,741.5,0.0,,0.0
335990,0.0,960.0,0.0,,0.0
335991,0.0,777.5,0.0,,0.0
335992,0.0,717.0,0.0,,0.0
335993,0.0,669.5,0.0,,0.0
335994,0.0,747.0,0.0,,0.0
335995,0.0,719.0,0.0,,0.0
335996,0.0,749.0,0.0,,0.0
335997,0.0,722.0,0.0,,0.0
335998,0.0,813.5,0.0,,0.0
335999,0.0,719.5,0.0,,0.0
336000,0.0,753.5,0.0,,0.0
336001,0.0,611.0,0.0,,0.0
336002,0.0,631.0,0.0,,0.0
336003,0.0,746.0,0.0,,0.0
336004,0.0,770.0,0.0,,0.0
336005,0.0,787.0,0.0,,0.0
336006,0.0,706.5,0.0,,0.0
336007,0.0,611.0,0.0,,0.0
336008,0.0,684.5,0.0,,0.0
336009,0.0,756.5,0.0,,0.0
336010,0.0,506.0,0.0,,0.0
336011,0.0,645.0,0.0,,0.0
336012,0.0,677.5,0.0,,0.0
336013,0.0,835.0,0.0,,0.0
336014,0.0,877.0,0.0,,0.0
336015,0.0,767.5,0.0,,0.0
336016,0.0,636.5,0.0,,0.0
336017,0.0,725.0,0.0,,0.0
336018,0.0,788.5,0.0,,0.0
336019,0.0,922.0,0.0,,0.0
336020,0.0,872.0,0.0,,0.0
336021,0.0,576.0,0.0,,0.0
336022,247.0,515.5,8.0,,0.0
336023,338.5,820.5,8.0,,0.0
336024,163.0,836.0,7.0,,0.0
336025,61.0,544.5,7.0,,0.0
336026,282.0,652.0,8.0,,0.0
336027,450.0,699.5,11.0,0.3566833452466047,-50.0
336028,257.0,794.0,10.0,,0.0
336029,233.0,723.5,7.0,,0.0
336031,367.0,679.5,8.0,,0.0
336032,336.5,755.5,9.0,,0.0
336033,174.0,904.0,8.0,,0.0
336034,590.0,723.0,9.0,,0.0
336035,380.5,879.5,11.0,0.5673678226264923,-50.0
336036,185.0,636.0,10.0,,0.0
336037,419.0,599.0,10.0,,0.0
336038,632.0,858.0,11.0,0.2634032634032634,-50.0
336039,456.5,581.5,11.0,0.21496130696474636,0.0
336040,677.5,774.5,11.0,0.12524209167204647,75.0
392181,374.0,714.5,10.0,,0.0
392182,678.5,862.5,11.0,0.21333333333333335,0.0
392183,146.5,420.5,8.0,,0.0
392184,416.0,586.0,8.0,,0.0
392185,286.0,657.5,11.0,0.5650190114068441,-50.0
392186,299.5,481.5,9.0,,0.0
392188,520.0,775.5,11.0,0.329464861379755,-50.0
392189,241.0,838.5,11.0,0.7125819916517591,-50.0
392190,393.5,707.5,10.0,,0.0
392191,332.0,800.0,11.0,0.585,-50.0
392192,513.0,855.5,11.0,0.40035067212156633,-50.0
392194,149.0,541.5,9.0,,0.0
392195,474.0,687.5,11.0,0.31054545454545457,-50.0
392196,404.5,679.5,11.0,0.4047093451066961,-50.0
392197,389.0,787.5,9.0,,0.0
392198,435.0,669.5,11.0,0.3502613890963405,-50.0
392199,281.0,651.0,10.0,,0.0
392200,362.5,671.5,11.0,0.46016381236038717,-50.0
392201,441.5,593.5,11.0,0.2561078348778433,-50.0
